system:index,NDVI_count,NDVI_max,NDVI_mean,NDVI_median,NDVI_min,NDVI_stdDev,image_count,month,year,.geo
98,71346,0.6948000000000001,0.47880904715603007,0.49029512815618365,0.12,0.08882678328881827,2,3.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
99,71346,0.58775,0.25725885125840386,0.25193477773679857,0.04755,0.04784556394405822,2,4.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
100,71346,0.6169,0.24124094963171067,0.22850747682870745,0.0392,0.05971643329688921,2,5.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
101,71346,0.6702,0.2594989011977439,0.2558619013122679,0.0327,0.06681679694751383,2,6.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
102,71346,0.73715,0.35570656927555555,0.3496600542883556,0.07235,0.08900216217285564,2,7.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
103,71346,0.86015,0.5285801229282528,0.5370784687951744,-0.017,0.11156110223335784,2,8.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
104,71346,0.8042,0.5463512388662863,0.548814725747818,0.0238,0.09862209545113379,2,9.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
105,71346,0.7442000000000001,0.42428801033840113,0.4199244326404083,-0.0396,0.09591905379266497,1,10.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
106,71346,0.7276,0.3377398979332976,0.3300851694017509,0.08760000000000001,0.0741701533791975,2,11.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
107,71346,0.77,0.42153482299498535,0.42381716792601526,-0.007799999999999998,0.08928257117746205,2,12.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
108,71346,0.83985,0.5823809080369841,0.6113108791594627,0.0727,0.11005326436903667,2,1.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
109,71346,0.86375,0.6652222936848567,0.6894517847881994,0.12380000000000001,0.1065028182150782,2,2.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
110,71346,0.6930000000000001,0.4795750580565141,0.49021938514541097,0.0878,0.08002015082898335,2,3.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
111,71346,0.5148,0.22878970892905093,0.22167864850499197,0.07640000000000001,0.03593067810041545,2,4.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
112,71346,0.5584,0.2403591041338774,0.22562804907922734,0.0872,0.06766106226896115,2,5.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
113,71346,0.6530500000000001,0.2939242455333298,0.2871085144057269,0.04515,0.07897883302039607,2,6.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
114,71346,0.8615,0.4360251669021647,0.43943062800867333,0.058,0.09718171696960744,2,7.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
115,71346,0.9652000000000001,0.5159534961557458,0.5195572322449645,-0.1051,0.1381829765879606,2,8.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
116,71343,0.8230500000000001,0.5251906515779815,0.535095763556754,-0.19590000000000002,0.12247592830301848,2,9.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
117,71343,0.7892,0.3888082425145035,0.3809887364147988,-0.1879,0.09825999311672627,1,10.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
118,71346,0.65855,0.3325906868794402,0.3300605353625494,-0.1567,0.06744946689730585,2,11.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
119,71346,0.77885,0.38169981272886716,0.36906611995116617,-0.06275,0.1051946096835642,2,12.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
120,71346,0.8280500000000001,0.5221562157650824,0.5292637735691432,-0.030850000000000002,0.11796876785023294,2,1.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
121,71346,0.89835,0.6964494799292377,0.7246583895470862,-0.04815,0.12007240535290435,2,2.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
122,71346,0.8352999999999999,0.5344724834342598,0.5449490884075614,-0.06190000000000001,0.10265015331537208,2,3.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
123,71346,0.6518,0.2667515317401173,0.2597386981073645,-0.011,0.050669855558164584,2,4.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
124,71346,0.6339,0.2674499885966141,0.25589507672309697,-0.02135,0.06914554929856298,2,5.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
125,71346,0.6742,0.35271457368899817,0.3535634782248673,0.023750000000000004,0.06963303469422771,2,6.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
126,71346,0.8926000000000001,0.4914956356660778,0.5058715772496061,-0.0359,0.121086312674559,2,7.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
127,71346,0.9494,0.5715840281908616,0.5819897942096367,-0.08720000000000001,0.12720039227676724,2,8.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
128,71346,0.76945,0.4863070770163823,0.4824027924657784,-0.08875,0.11274202968974421,2,9.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
